key,type,title,author,year,journal,volume,pages,doi,arxiv,pmid,topic
dou2021federated,article,Federated deep learning for detecting COVID-19 lung abnormalities in CT: a privacy-preserving multinational validation study,"Dou, Qi and So, Tiffany Y. and Jiang, Meirui and Liu, Quande and Vardhanabhuti, Varut and Kaissis, Georgios and Li, Zeju and Si, Weixin and Lee, Heather H. C. and Yu, Kevin and Feng, Zuxin and Dong, Li and Burian, Egon and Jungmann, Friederike and Braren, Rickmer and Makowski, Marcus R. and Kainz, Bernhard and Rueckert, Daniel and Glocker, Ben and Yu, Simon C. H. and Heng, Pheng-Ann",2021,npj Digital Medicine,4,60,10.1038/s41746-021-00431-6,,33782526,architecture-datasets
dayan2021federated,article,Federated learning for predicting clinical outcomes in patients with COVID-19,"Dayan, Ittai and Roth, Holger R. and Zhong, Aoxiao and others",2021,Nature Medicine,27,1735--1743,10.1038/s41591-021-01506-3,,34526699,architecture-datasets
pati2022federated,article,Federated learning enables big data for rare cancer boundary detection,"Pati, Sarthak and Baid, Ujjwal and Edwards, Brandon and Sheller, Micah and others",2022,Nature Communications,13,7341,10.1038/s41467-022-33407-5,,36470898,FL-personalization-heterogeneity
ogierduterrail2023federated,article,Federated learning for predicting histological response to neoadjuvant chemotherapy in triple-negative breast cancer,"Ogier du Terrail, Jean and L{\'e}opold, Armand and Joly, Cl{\'e}ment and B{\'e}guier, Constance and Andreux, Mathieu and Maussion, Charles and Schmauch, Beno{\^i}t and Tramel, Eric W. and Bendjebbar, Etienne and Zaslavskiy, Mikhail and Wainrib, Gilles and Milder, Maud and Gervasoni, Julie and Gu{\'e}rin, Julien and Durand, Thierry and Livartowski, Alain and Moutet, Kelvin and Gautier, Cl{\'e}ment and Djafar, Inal and Moisson, Anne-Laure and Marini, Camille and Galtier, Mathieu and Balazard, F{\'e}lix and Dubois, R{\'e}my and Moreira, Jeverson and Simon, Antoine and Drubay, Damien and Lacroix-Triki, Magali and Franchet, Camille and Bataillon, Guillaume and Heudel, Pierre-Etienne",2023,Nature Medicine,29,135--146,10.1038/s41591-022-02155-w,,36658418,FL-personalization-heterogeneity
sarma2021federated,article,Federated learning improves site performance in multicenter deep learning without data sharing,"Sarma, Karthik V. and Harmon, Stephanie A. and Sanford, Thomas and Roth, Holger R. and Xu, Ziyue and Tetreault, Jesse and Xu, Daguang and Flores, Mona G. and Raman, Alex G. and Kulkarni, Rushikesh and Wood, Bradford J. and Choyke, Peter L. and Priester, Alan and Marks, Leonard S. and Raman, Steven S. and Enzmann, Dieter R. and T{\""u}rk bey, Bar{\i}{\c s} and Speier, William and Arnold, Corey",2021,Journal of the American Medical Informatics Association,28,,10.1093/jamia/ocaa341,,33537772,FL-medical-imaging
adnan2022federated,article,Federated learning and differential privacy for medical image analysis,"Adnan, Mohammed and Kalra, Shivam and Cresswell, Jesse C. and Taylor, Graham W. and Tizhoosh, Hamid R.",2022,Scientific Reports,12,1955,10.1038/s41598-022-05539-7,,35121774,FL-medical-imaging
warnatherresthal2021swarm,article,Swarm Learning for decentralized and confidential clinical machine learning,"Warnat-Herresthal, Stefan and Schultze, Hartmut and others",2021,Nature,594,265--270,10.1038/s41586-021-03583-3,,34040261,uncertainty-conformal
albalawi2024integrated,article,Integrated approach of federated learning with transfer learning for classification and diagnosis of brain tumor,"Albalawi, Eid and Mahesh, T. R. and Thakur, Arastu and Kumar, V. Vinoth and Gupta, Muskan and Bhatia, Surbhi and Almusharraf, Ahlam",2024,BMC Medical Imaging,24,119,10.1186/s12880-024-01261-0,,38750436,architecture-datasets
malik2023dmfl,article,DMFL\_Net: A Federated Learning-Based Framework for the Classification of COVID-19 from Multiple Chest Diseases Using X-rays,"Malik, Hassaan and Naeem, Ahmad and Naqvi, Rizwan Ali and Loh, Woong-Kee",2023,Sensors,23,743,10.3390/s23020743,,36679541,architecture-datasets
mohan2023drfl,article,DRFL: Federated Learning in Diabetic Retinopathy Grading Using Fundus Images,"Mohan, N. Jagan and Murugan, R. and Goel, Tripti and Roy, Parthapratim",2023,IEEE Transactions on Parallel and Distributed Systems,34,,10.1109/TPDS.2023.3264473,,,FL-personalization-heterogeneity
litian2020federated,inproceedings,Federated Optimization in Heterogeneous Networks,"Li, Tian and Sahu, Anit Kumar and Zaheer, Manzil and Sanjabi, Maziar and Talwalkar, Ameet and Smith, Virginia",2020,Proceedings of Machine Learning and Systems (MLSys),2,429--450,,1812.06127,,FL-personalization-heterogeneity
lixiaoxiao2021fedbn,inproceedings,FedBN: Federated Learning on Non-IID Features via Local Batch Normalization,"Li, Xiaoxiao and Jiang, Meirui and Zhang, Xiaofei and Kamp, Michael and Dou, Qi",2021,International Conference on Learning Representations (ICLR),,,,2102.07623,,FL-personalization-heterogeneity
arivazhagan2019federated,misc,Federated Learning with Personalization Layers,"Arivazhagan, Manoj Ghuhan and Aggarwal, Vinay and Singh, Aaditya Kumar and Choudhary, Sunav",2019,,,,,,,FL-personalization-heterogeneity
liu2021feddg,inproceedings,FedDG: Federated Domain Generalization on Medical Image Segmentation via Episodic Learning in Continuous Frequency Space,"Liu, Quande and Chen, Cheng and Qin, Jing and Dou, Qi and Heng, Pheng-Ann",2021,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),,1947--1956,10.1109/CVPR46437.2021.00107,2103.06030,,FL-medical-imaging
jiang2022harmofl,inproceedings,HarmoFL: Harmonizing Local and Global Drifts in Federated Learning on Heterogeneous Medical Images,"Jiang, Meirui and Wang, Zirui and Dou, Qi",2022,Proceedings of the AAAI Conference on Artificial Intelligence,36,,10.1609/aaai.v36i1.19993,2112.02480,,FL-medical-imaging
jiang2023iop,article,IOP-FL: Inside-Outside Personalization for Federated Medical Image Segmentation,"Jiang, Meirui and Yang, Hongzheng and Chen, Cheng and Dou, Qi",2023,IEEE Transactions on Medical Imaging,42,,10.1109/TMI.2023.3263072,2204.08467,37030858,FL-medical-imaging
wicaksana2023fedmix,article,FedMix: Mixed Supervised Federated Learning for Medical Image Segmentation,"Wicaksana, Jeffry and Yan, Zengqiang and Zhang, Dong and Huang, Xijie and Wu, Huimin and Yang, Xin and Cheng, Kwang-Ting",2023,IEEE Transactions on Medical Imaging,42,,10.1109/TMI.2022.3233405,,37015653,FL-medical-imaging
yan2021variation,article,Variation-Aware Federated Learning With Multi-Source Decentralized Medical Image Data,"Yan, Zengqiang and Wicaksana, Jeffry and Wang, Zhiwei and Yang, Xin and Cheng, Kwang-Ting",2021,IEEE Journal of Biomedical and Health Informatics,25,,10.1109/JBHI.2020.3040015,,33232246,uncertainty-conformal
zhang2022splitavg,article,SplitAVG: A Heterogeneity-Aware Federated Deep Learning Method for Medical Imaging,"Zhang, Miao and Qu, Liangqiong and Singh, Praveer and Kalpathy-Cramer, Jayashree and Rubin, Daniel L.",2022,IEEE Journal of Biomedical and Health Informatics,26,,10.1109/JBHI.2022.3185956,,35749336,FL-medical-imaging
yan2023label,article,Label-Efficient Self-Supervised Federated Learning for Tackling Data Heterogeneity in Medical Imaging,"Yan, Rui and Qu, Liangqiong and Wei, Qingyue and Huang, Shih-Cheng and Shen, Liyue and Rubin, Daniel L. and Xing, Lei and Zhou, Yuyin",2023,IEEE Transactions on Medical Imaging,42,,10.1109/TMI.2022.3233574,2205.08576,37018314,FL-medical-imaging
wicaksana2022customized,article,Customized Federated Learning for Multi-Source Decentralized Medical Image Classification,"Wicaksana, Jeffry and Yan, Zengqiang and Yang, Xin and Liu, Yang and Fan, Li and Cheng, Kwang-Ting",2022,IEEE Journal of Biomedical and Health Informatics,26,,10.1109/JBHI.2022.3198440,,35984796,uncertainty-conformal
xujie2020federated,article,Federated Learning for Healthcare Informatics,"Xu, Jie and Glicksberg, Benjamin S. and Su, Chang and Walker, Peter and Bian, Jiang and Wang, Fei",2020,Journal of Healthcare Informatics Research,4,,10.1007/s41666-020-00082-4,,33204939,FL-personalization-heterogeneity
nguyen2022federated,article,Federated Learning for Smart Healthcare: A Survey,"Nguyen, Dinh C. and Pham, Quoc-Viet and Pathirana, Pubudu N. and Ding, Ming and Seneviratne, Aruna and Lin, Zihuai and Dobre, Octavia A. and Hwang, Won-Joo",2022,ACM Computing Surveys,55,,10.1145/3501296,,,FL-personalization-heterogeneity
antunes2022federated,article,Federated Learning for Healthcare: Systematic Review and Architecture Proposal,"Antunes, Rodolfo Stoffel and da Costa, Cristiano Andr{\'e} and K{\""u}derle, Arne and Yari, Imrana Abdullahi and Eskofier, Bjoern M.",2022,ACM Transactions on Intelligent Systems and Technology,13,,10.1145/3501813,,,FL-personalization-heterogeneity
pfitzner2021federated,article,Federated Learning in a Medical Context: A Systematic Literature Review,"Pfitzner, Bjarne and Steckhan, Nico and Arnrich, Bert",2021,ACM Transactions on Internet Technology,21,,10.1145/3412357,,,FL-medical-imaging
joshi2022federated,article,"Federated Learning for Healthcare Domain -- Pipeline, Applications and Challenges","Joshi, Madhura and Pal, Ankit and Sankarasubbu, Malaikannan",2022,ACM Transactions on Computing for Healthcare,3,,10.1145/3533708,,,FL-personalization-heterogeneity
teo2024federated,article,Federated machine learning in healthcare: A systematic review on clinical applications and technical architecture,"Teo, Zhen Ling and Jin, Liyuan and Liu, Nan and Li, Siqi and Miao, Di and Zhang, Xiaoman and Ng, Wei Yan and Tan, Ting Fang and Lee, Deborah Mei Xuan and Chua, Kai Jie and Heng, John and Liu, Yong and Goh, Rick Siow Mong and Ting, Daniel Shu Wei",2024,Cell Reports Medicine,5,101419,10.1016/j.xcrm.2024.101419,,38340728,FL-personalization-heterogeneity
zhangfan2024recent,article,Recent methodological advances in federated learning for healthcare,"Zhang, Fan and Kreuter, Daniel and Chen, Yi-Chen and Dittmer, S{\""o}ren and Tull, Samuel and Shadbahr, Tolou and Schut, Martijn C. and Asselbergs, Folkert W. and Kar, Sujoy Kumar and Sivapalaratnam, Suthesh and Williams, Sophie and Koh, Mickey and Henskens, Yvonne and de Wit, Bart and D'Alessandro, Umberto and Bah, Bubacarr and Secka, Ousman and Nachev, Parashkev and Gupta, Rajeev and Trompeter, Sara and Boeckx, Nancy and Van Laer, Christine and Awandare, Gordon A. and Sarpong, Kwabena and Amenga-Etego, Lucas and Leers, Mathie P. G. and Huijskens, Mirelle and McDermott, Samuel and Ouwehand, Willem H. and Rudd, James H. F. and Sch{\""o}nlieb, Carola-Bibiane and Gleadall, Nicholas and Roberts, Michael and Aston, John A. D. and Preller, Jacobus",2024,Patterns,5,101006,10.1016/j.patter.2024.101006,,39005485,uncertainty-conformal
pati2024privacy,article,Privacy preservation for federated learning in health care,"Pati, Sarthak and Kumar, Sourav and Varma, Aditya and Edwards, Brandon and Lu, Charles and Qu, Liangqiong and Wang, Justin J. and Lakshminarayanan, Aroosa and Wang, Shih-han and Sheller, Micah and Chang, Ken and Singh, Praveer and Rubin, Daniel L. and Kalpathy-Cramer, Jayashree and Bakas, Spyridon",2024,Patterns,5,100974,10.1016/j.patter.2024.100974,,39081567,FL-personalization-heterogeneity
rahman2022federated,article,"Federated learning-based AI approaches in smart healthcare: concepts, taxonomies, challenges and open issues","Rahman, Anichur and Hossain, Md. Sazzad and Muhammad, Ghulam and Kundu, Dipanjali and Debnath, Tanoy and Rahman, Muaz and Khan, Md. Saikat Islam and Tiwari, Prayag and Band, Shahab S.",2022,Cluster Computing,26,,10.1007/s10586-022-03658-4,,35996680,FL-personalization-heterogeneity
aouedi2022handling,article,Handling Privacy-Sensitive Medical Data With Federated Learning: Challenges and Future Directions,"Aouedi, Ons and Sacco, Alessio and Piamrat, Kandaraj and Marchetto, Guido",2022,IEEE Journal of Biomedical and Health Informatics,26,,10.1109/JBHI.2022.3185673,,35737624,FL-medical-imaging
kairouz2021advances,article,Advances and Open Problems in Federated Learning,"Kairouz, Peter and McMahan, H. Brendan and Avent, Brendan and Bellet, Aur{\'e}lien and Bennis, Mehdi and Bhagoji, Arjun Nitin and Bonawitz, Kallista and Charles, Zachary and Cormode, Graham and Cummings, Rachel and others",2021,Foundations and Trends in Machine Learning,14,1--210,10.1561/2200000083,,,FL-personalization-heterogeneity
che2023multimodal,article,Multimodal Federated Learning: A Survey,"Che, Liwei and Wang, Jiaqi and Zhou, Yao and Ma, Fenglong",2023,Sensors,23,6986,10.3390/s23156986,,37571768,FL-personalization-heterogeneity
lin2023federated,article,Federated Learning on Multimodal Data: A Comprehensive Survey,"Lin, Yiming and Gao, Yuan and Gong, Maoguo and Zhang, Sijia and Zhang, Yuanqiao and Li, Zhiyuan",2023,Machine Intelligence Research,20,,10.1007/s11633-022-1398-0,,,FL-personalization-heterogeneity
mcmahan2017communication,inproceedings,Communication-Efficient Learning of Deep Networks from Decentralized Data,"McMahan, H. Brendan and Moore, Eider and Ramage, Daniel and Hampson, Seth and Ag{\""u}era y Arcas, Blaise",2017,Proceedings of the 20th International Conference on Artificial Intelligence and Statistics (AISTATS),,1273--1282,,1602.05629,,uncertainty-conformal
litian2020fedprox,inproceedings,Federated Optimization in Heterogeneous Networks,"Li, Tian and Sahu, Anit Kumar and Zaheer, Manzil and Sanjabi, Maziar and Talwalkar, Ameet and Smith, Virginia",2020,Proceedings of Machine Learning and Systems (MLSys),,,,1812.06127,,FL-personalization-heterogeneity
litian2021ditto,inproceedings,Ditto: Fair and Robust Federated Learning Through Personalization,"Li, Tian and Hu, Shengyuan and Beirami, Ahmad and Smith, Virginia",2021,Proceedings of the 38th International Conference on Machine Learning (ICML),,6357--6368,,2012.04221,,FL-personalization-heterogeneity
oh2022fedbabu,inproceedings,FedBABU: Toward Enhanced Representation for Federated Image Classification,"Oh, Jaehoon and Kim, Sangmook and Yun, Se-Young",2022,Proceedings of the 10th International Conference on Learning Representations (ICLR),,,,2106.06042,,FL-personalization-heterogeneity
collins2021fedrep,inproceedings,Exploiting Shared Representations for Personalized Federated Learning,"Collins, Liam and Hassani, Hamed and Mokhtari, Aryan and Shakkottai, Sanjay",2021,Proceedings of the 38th International Conference on Machine Learning (ICML),,2089--2099,,2102.07078,,FL-personalization-heterogeneity
chen2022fedrod,inproceedings,On Bridging Generic and Personalized Federated Learning for Image Classification,"Chen, Hong-You and Chao, Wei-Lun",2022,Proceedings of the 10th International Conference on Learning Representations (ICLR),,,,2107.00778,,FL-personalization-heterogeneity
liang2020lgfedavg,article,"Think Locally, Act Globally: Federated Learning with Local and Global Representations","Liang, Paul Pu and Liu, Terrance and Ziyin, Liu and Allen, Nicholas B. and Auerbach, Randy P. and Brent, David and Salakhutdinov, Ruslan and Morency, Louis-Philippe",2020,arXiv preprint arXiv:2001.01523,,,,2001.01523,,FL-personalization-heterogeneity
dinh2022pfedme,inproceedings,Personalized Federated Learning with Moreau Envelopes,"Dinh, Canh T. and Tran, Nguyen H. and Nguyen, Tuan Dung",2022,Proceedings of the 36th AAAI Conference on Artificial Intelligence (AAAI),,2134--2142,,2006.08848,,FL-personalization-heterogeneity
fallah2020perfedavg,inproceedings,Personalized Federated Learning: A Meta-Learning Approach,"Fallah, Alireza and Mokhtari, Aryan and Ozdaglar, Asuman",2020,Advances in Neural Information Processing Systems (NeurIPS),33,2125--2136,,2002.07948,,FL-personalization-heterogeneity
deng2020apfl,article,Adaptive Personalized Federated Learning,"Deng, Yuyang and Kamani, Mohammad Mahdi and Mahdavi, Mohammad",2020,arXiv preprint arXiv:2003.13461,,,10.48550/arXiv.2003.13461,,,FL-personalization-heterogeneity
zhang2023fedala,article,FedALA: Adaptive Local Aggregation for Personalized Federated Learning,"Zhang, Jianqing and Yang, Hua and Wang, Hao and Song, Tao and Xue, Zhengui and Ma, Ruhui and Guan, Haibing",2023,Proceedings of the AAAI Conference on Artificial Intelligence,37,11237--11244,10.1609/aaai.v37i9.26330,,,FL-personalization-heterogeneity
chen2023pflbench,inproceedings,pFL-Bench: A Comprehensive Benchmark for Personalized Federated Learning,"Chen, Daoyuan and Gao, Dawei and Kuang, Weirui and Li, Yaliang and Ding, Bolin",2023,Advances in Neural Information Processing Systems (NeurIPS) Datasets and Benchmarks,,,,2206.03655,,FL-personalization-heterogeneity
tan2023towards,article,Towards Personalized Federated Learning,"Tan, Alysa Ziying and Yu, Han and Cui, Lizhen and Yang, Qiang",2023,IEEE Transactions on Neural Networks and Learning Systems,34,9587--9603,10.1109/TNNLS.2022.3160699,,,FL-personalization-heterogeneity
kulkarni2020survey,inproceedings,Survey of Personalization Techniques for Federated Learning,"Kulkarni, Viraj and Kulkarni, Milind and Pant, Aniruddha",2020,"IEEE World Conference on Smart Trends in Systems, Security and Sustainability (WS4)",,,,2003.08673,,FL-personalization-heterogeneity
ye2023heterogeneous,article,Heterogeneous Federated Learning: State-of-the-Art and Research Challenges,"Ye, Mang and Fang, Xiuwen and Du, Bo and Yuen, Pong C. and Tao, Dacheng",2024,ACM Computing Surveys,56,1--44,10.1145/3625558,,,FL-personalization-heterogeneity
huang2021personalized,inproceedings,Personalized Cross-Silo Federated Learning on Non-IID Data,"Huang, Yutao and Chu, Lingyang and Zhou, Zirui and Wang, Lanjun and Liu, Jiangchuan and Pei, Jian and Zhang, Yong",2021,Proceedings of the 35th AAAI Conference on Artificial Intelligence (AAAI),,7865--7873,10.1609/aaai.v35i9.16960,,,FL-personalization-heterogeneity
zhao2018noniid,article,Federated Learning with Non-IID Data,"Zhao, Yue and Li, Meng and Lai, Liangzhen and Suda, Naveen and Civin, Damon and Chandra, Vikas",2018,arXiv preprint arXiv:1806.00582,,,10.48550/arXiv.1806.00582,,,FL-personalization-heterogeneity
hsu2019measuring,inproceedings,Measuring the Effects of Non-Identical Data Distribution for Federated Visual Classification,"Hsu, Tzu-Ming Harry and Qi, Hang and Brown, Matthew",2019,NeurIPS 2019 Workshop on Federated Learning,,,,1909.06335,,FL-personalization-heterogeneity
li2022noniidsilos,inproceedings,Federated Learning on Non-IID Data Silos: An Experimental Study,"Li, Qinbin and Diao, Yiqun and Chen, Quan and He, Bingsheng",2022,Proceedings of the 38th IEEE International Conference on Data Engineering (ICDE),,,10.1109/ICDE53745.2022.00077,,,FL-personalization-heterogeneity
li2021fedrs,inproceedings,FedRS: Federated Learning with Restricted Softmax for Label Distribution Non-IID Data,"Li, Xin-Chun and Zhan, De-Chuan",2021,Proceedings of the 27th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,,995--1005,10.1145/3447548.3467254,,,FL-personalization-heterogeneity
zhang2022logits,inproceedings,Federated Learning with Label Distribution Skew via Logits Calibration,"Zhang, Jie and Li, Zhiqi and Li, Bo and Xu, Jianghe and Wu, Shuang and Ding, Shouhong and Wu, Chao",2022,Proceedings of the 39th International Conference on Machine Learning (ICML),,26311--26329,,2209.00189,,uncertainty-conformal
qu2022data,article,An Experimental Study of Data Heterogeneity in Federated Learning Methods for Medical Imaging,"Qu, Liangqiong and Balachandar, Niranjan and Rubin, Daniel L.",2022,IEEE Journal of Biomedical and Health Informatics,26,3145--3157,,2107.08371,,FL-medical-imaging
mendieta2022local,inproceedings,Local Learning Matters: Rethinking Data Heterogeneity in Federated Learning,"Mendieta, Mat{\'i}as and Yang, Taojiannan and Wang, Pu and Lee, Minwoo and Ding, Zhengming and Chen, Chen",2022,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),,8399--8409,10.1109/CVPR52688.2022.00821,,,FL-personalization-heterogeneity
casella2023normalization,article,Experimenting with Normalization Layers in Federated Learning on Non-IID Scenarios,"Casella, Bruno and Esposito, Roberto and Sciarappa, Antonio and Cavazzoni, Carlo and Aldinucci, Marco",2024,IEEE Transactions on Neural Networks and Learning Systems,,,10.1109/TNNLS.2024.3358483,2303.10630,,FL-personalization-heterogeneity
li2020convergence,inproceedings,On the Convergence of FedAvg on Non-IID Data,"Li, Xiang and Huang, Kaixuan and Yang, Wenhao and Wang, Shusen and Zhang, Zhihua",2020,Proceedings of the 8th International Conference on Learning Representations (ICLR),,,,1907.02189,,FL-personalization-heterogeneity
karimireddy2020scaffold,inproceedings,SCAFFOLD: Stochastic Controlled Averaging for Federated Learning,"Karimireddy, Sai Praneeth and Kale, Satyen and Mohri, Mehryar and Reddi, Sashank J. and Stich, Sebastian U. and Suresh, Ananda Theertha",2020,Proceedings of the 37th International Conference on Machine Learning (ICML),,5132--5143,,1910.06378,,FL-personalization-heterogeneity
acar2021feddyn,inproceedings,Federated Learning Based on Dynamic Regularization,"Acar, Durmus Alp Emre and Zhao, Yue and Navarro, Ramon Matas and Mattina, Matthew and Whatmough, Paul N. and Saligrama, Venkatesh",2021,Proceedings of the 9th International Conference on Learning Representations (ICLR),,,,2111.04263,,FL-personalization-heterogeneity
wang2020fednova,inproceedings,Tackling the Objective Inconsistency Problem in Heterogeneous Federated Optimization,"Wang, Jianyu and Liu, Qinghua and Liang, Hao and Joshi, Gauri and Poor, H. Vincent",2020,Advances in Neural Information Processing Systems (NeurIPS),33,7611--7623,,2007.07481,,FL-personalization-heterogeneity
smith2017mocha,inproceedings,Federated Multi-Task Learning,"Smith, Virginia and Chiang, Chao-Kai and Sanjabi, Maziar and Talwalkar, Ameet",2017,Advances in Neural Information Processing Systems (NeurIPS),30,4424--4434,,1705.10467,,FL-personalization-heterogeneity
xu2020federated,article,Federated Learning for Healthcare Informatics,"Xu, Jie and Glicksberg, Benjamin S. and Su, Chang and Walker, Peter and Bian, Jiang and Wang, Fei",2021,Journal of Healthcare Informatics Research,5,1--19,10.1007/s41666-020-00082-4,,,FL-personalization-heterogeneity
gal2016dropout,inproceedings,Dropout as a Bayesian Approximation: Representing Model Uncertainty in Deep Learning,"Gal, Yarin and Ghahramani, Zoubin",2016,Proceedings of the 33rd International Conference on Machine Learning (ICML),,1050--1059,,1506.02142,,uncertainty-conformal
kendall2015bayesian,inproceedings,Bayesian SegNet: Model Uncertainty in Deep Convolutional Encoder-Decoder Architectures for Scene Understanding,"Kendall, Alex and Badrinarayanan, Vijay and Cipolla, Roberto",2015,Proceedings of the British Machine Vision Conference (BMVC),,,,1511.02680,,uncertainty-conformal
lakshminarayanan2017ensembles,inproceedings,Simple and Scalable Predictive Uncertainty Estimation using Deep Ensembles,"Lakshminarayanan, Balaji and Pritzel, Alexander and Blundell, Charles",2017,Advances in Neural Information Processing Systems (NeurIPS),30,6402--6413,,1612.01474,,uncertainty-conformal
guo2017calibration,inproceedings,On Calibration of Modern Neural Networks,"Guo, Chuan and Pleiss, Geoff and Sun, Yu and Weinberger, Kilian Q.",2017,Proceedings of the 34th International Conference on Machine Learning (ICML),,1321--1330,,1706.04599,,uncertainty-conformal
kull2019dirichlet,inproceedings,Beyond Temperature Scaling: Obtaining Well-Calibrated Multi-Class Probabilities with Dirichlet Calibration,"Kull, Meelis and Perello-Nieto, Miquel and K{\""a}ngsepp, Markus and de Menezes e Silva Filho, Telmo and Song, Hao and Flach, Peter",2019,Advances in Neural Information Processing Systems (NeurIPS),32,12316--12326,,1910.12656,,uncertainty-conformal
ovadia2019trust,inproceedings,Can You Trust Your Model's Uncertainty? Evaluating Predictive Uncertainty Under Dataset Shift,"Ovadia, Yaniv and Fertig, Emily and Ren, Jie and Nado, Zachary and Sculley, D. and Nowozin, Sebastian and Dillon, Joshua and Lakshminarayanan, Balaji and Snoek, Jasper",2019,Advances in Neural Information Processing Systems (NeurIPS),32,13991--14002,,1906.02530,,uncertainty-conformal
minderer2021revisiting,inproceedings,Revisiting the Calibration of Modern Neural Networks,"Minderer, Matthias and Djolonga, Josip and Romijnders, Rob and Hubis, Frances and Zhai, Xiaohua and Houlsby, Neil and Tran, Dustin and Lucic, Mario",2021,Advances in Neural Information Processing Systems (NeurIPS),34,1561--1574,,2106.07998,,uncertainty-conformal
